instrumento;cantidad;precio;moneda;total
MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);106263;15,6;ARS;1657702,8
MORIXE HNOS. S.A.  ORD. 1 VOTO (MORI);77535;22,3;ARS;1729030,5
CEDEAR ALIBABA GROUP HOLDING LIMITED (BABA);91;19960;ARS;1816360
CEDEAR EBAY INC. (EBAY);23;82000;ARS;1886000
CEDEAR TELEFONICA BRASIL S.A. (VIVT3);230;9390;ARS;2159700
CEDEAR ADVANCED MICRO DEVICES, INC. (AMD);65;75475;ARS;4905875
CEDEAR DECKERS OUTDOOR CORPORATION (DECK) (DECK);1278;5435;ARS;6945930
BOLSAS Y MERCADOS ARG. $ ORD. (BYMA) (BYMA);30310;263,75;ARS;7994262,5
ARS;2395086,84;1;ARS;2395086,84
EXT;13,76;1;EXT;13,76
USD;7699,01;1;USD;7699,01
