nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
30199564;17908;15-01-2025;15-01-2025;Nota De Credito Conversion Cable;;EXT;;;;0,28;0;0;0;0;0,28
30533841;511334;16-01-2025;16-01-2025;Compra;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);ARS;BYMA;1.255;78.860;-989.693;0;-98,9693;0;0;-989.791,97
30435677;1146863;16-01-2025;16-01-2025;Recibo De Cobro;;ARS;;;;1.000.000;0;0;0;0;1.000.000
30750231;53291;17-01-2025;17-01-2025;Debito Arancel Exento;;ARS;;;;-9.899,2595;-9.899,2595;0;0;0;-9.899,26
30872364;547869;17-01-2025;17-01-2025;Venta Dolar Mep;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);USD;BYMA;-1.255;67,26;844,11;-2,1103;-0,0844;0;0;841,92
31468279;1951001;21-01-2025;21-01-2025;Recibo De Cobro;;ARS;;;;1.000.000;0;0;0;0;1.000.000
31600661;650246;21-01-2025;21-01-2025;Compra;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);ARS;BYMA;1.266;78.160;-989.505,6;0;-98,9506;0;0;-989.604,55
31536511;2011197;21-01-2025;21-01-2025;Recibo De Cobro;;ARS;;;;10.005,32;0;0;0;0;10.005,32
31563114;72096;21-01-2025;21-01-2025;Debito Arancel Exento;;ARS;;;;-9.902;-9.902;0;0;0;-9.902
31884308;709798;22-01-2025;22-01-2025;Venta Dolar Mep;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);USD;BYMA;-1.266;66,87;846,57;-2,1164;-0,0847;0;0;844,37
31584049;634609;21-01-2025;22-01-2025;Compra Dolar Mep;CEDEAR APPLE INC. (AAPL);USD;BYMA;26;11,275;-293,15;-0,7329;-0,2345;-0,2032;0;-294,32
31585603;635954;21-01-2025;22-01-2025;Compra Dolar Mep;CEDEAR ALPHABET INC. CL  A  (GOOGL);USD;BYMA;84;3,505;-294,42;-0,7361;-0,2355;-0,204;0;-295,6
31602106;651650;21-01-2025;22-01-2025;Compra Dolar Mep;CEDEAR META PLATFORMS INC. (META);USD;BYMA;4;26,15;-104,6;-0,2615;-0,0837;-0,0725;0;-105,02
31713973;2129603;22-01-2025;22-01-2025;Orden De Pago Usd;;USD;;;;-1.118,53;0;0;0;0;-1.118,53
31713989;2129619;22-01-2025;22-01-2025;Orden De Pago;;ARS;;;;-11.127,72;0;0;0;0;-11.127,72
31854113;680872;22-01-2025;23-01-2025;Compra Dolar Mep;CEDEAR VISA INC (V);USD;BYMA;8;18,4;-147,2;-0,368;-0,1178;-0,102;0;-147,79
31854745;681356;22-01-2025;23-01-2025;Compra Dolar Mep;CEDEAR TESLA, INC. (TSLA);USD;BYMA;5;28,35;-141,75;-0,3544;-0,1134;-0,0982;0;-142,32
31870390;696563;22-01-2025;23-01-2025;Compra Dolar Mep;CEDEAR MERCADOLIBRE INC. (MELI);USD;BYMA;9;15,45;-139,05;-0,3476;-0,1112;-0,0964;0;-139,61
32026761;2371296;23-01-2025;23-01-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
32183862;250073;23-01-2025;23-01-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;204.629,0641;7.330,337;-1.500.000;0;0;0;0;-1.500.000
32114185;723539;23-01-2025;24-01-2025;Compra Dolar Mep;CEDEAR TESLA, INC. (TSLA);USD;BYMA;4;27,9;-111,6;-0,279;-0,0893;-0,0773;0;-112,05
32256293;2545986;24-01-2025;24-01-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
32804169;273379;24-01-2025;24-01-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;204.430,6946;7.337,45;-1.500.000;0;0;0;0;-1.500.000
32367861;783403;24-01-2025;27-01-2025;Compra Dolar Mep;CEDEAR AMAZON.COM, INC (AMZN);USD;BYMA;90;1,65;-148,5;-0,3713;-0,1188;-0,1029;0;-149,09
33074528;297375;27-01-2025;27-01-2025;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-54.356,9324;7.358,767;400.000;0;0;0;0;400.000
32904751;3106555;27-01-2025;27-01-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
32979986;841568;27-01-2025;27-01-2025;Compra;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);ARS;BYMA;519;76.160;-395.270,4;0;-39,527;0;0;-395.309,93
32353559;769868;24-01-2025;27-01-2025;Compra Dolar Mep;CEDEAR NVIDIA CORPORATION (NVDA);USD;BYMA;27;6,05;-163,35;-0,4084;-0,1307;-0,1132;0;-164
33337812;304221;28-01-2025;28-01-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;407.916,7085;7.365,94;-3.004.690;0;0;0;0;-3.004.690
33168925;3279546;28-01-2025;28-01-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
33248795;912871;28-01-2025;28-01-2025;Venta Dolar Mep;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);USD;BYMA;-519;65,6898;340,93;-0,8523;-0,0341;0;0;340,04
33511102;957865;29-01-2025;29-01-2025;Compra;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);ARS;BYMA;1.924;77.150;-1.484.366;-14.843,66;-148,4366;0;0;-1.499.358,1
33380066;3419238;29-01-2025;29-01-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
33218167;884156;28-01-2025;29-01-2025;Compra Dolar Mep;YPF S.A. ESCRIT.  D  1 VOTO (YPFD);USD;BYMA;3;38,9;-116,7;-0,2918;-0,0934;-0,0809;0;-117,17
33801653;968829;30-01-2025;30-01-2025;Venta Dolar Mep;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);USD;BYMA;-1.924;66,8701;1.286,58;-3,2165;-0,1287;0;0;1.283,23
33595418;3564639;30-01-2025;30-01-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
33788538;332313;30-01-2025;30-01-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;203.333,1581;7.380,208;-1.500.641;0;0;0;0;-1.500.641
33502602;949727;29-01-2025;30-01-2025;Compra Dolar Mep;CEDEAR NVIDIA CORPORATION (NVDA);USD;BYMA;40;5,2;-208;-0,52;-0,1664;-0,1441;0;-208,83
34344746;345320;31-01-2025;31-01-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;203.050,5228;7.387,324;-1.500.000;0;0;0;0;-1.500.000
33867250;3750706;31-01-2025;31-01-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
33972580;1026927;31-01-2025;03-02-2025;Compra Dolar Mep;CEDEAR SALESFORCE.COM, INC (CRM);USD;BYMA;7;19,25;-134,75;-0,3369;-0,1078;-0,0934;0;-135,29
33993224;1046762;31-01-2025;03-02-2025;Compra Dolar Mep;CEDEAR ALIBABA GROUP HOLDING LIMITED (BABA);USD;BYMA;13;11,4;-148,2;-0,3705;-0,1186;-0,1027;0;-148,79
33993727;1047265;31-01-2025;03-02-2025;Compra Dolar Mep;CEDEAR DE MICROSOFT CORP. (MSFT);USD;BYMA;10;14,1;-141;-0,3525;-0,1128;-0,0977;0;-141,56
33994260;1047798;31-01-2025;03-02-2025;Compra Dolar Mep;CEDEAR SPDR DOW JONES INDUSTRIAL (DIA);USD;BYMA;6;22,55;-135,3;-0,3383;-0,1082;-0,0938;0;-135,84
33953536;1008639;31-01-2025;03-02-2025;Compra Dolar Mep;CEDEAR META PLATFORMS INC. (META);USD;BYMA;5;28,9;-144,5;-0,3613;-0,1156;-0,1001;0;-145,08
34569040;1095853;03-02-2025;04-02-2025;Compra Dolar Mep;CEDEAR MASTERCARD INC. (MA);USD;BYMA;8;17;-136;-0,34;-0,1088;-0,0942;0;-136,54
34565388;1092839;03-02-2025;04-02-2025;Compra Dolar Mep;CEDEAR DE AMERICAN EXPRESS COMPANY (AXP);USD;BYMA;7;21,3;-149,1;-0,3728;-0,1193;-0,1033;0;-149,7
34689781;4391029;04-02-2025;04-02-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
34944943;1230707;04-02-2025;04-02-2025;Compra;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);ARS;BYMA;1.916;77.450;-1.483.942;-14.839,42;-148,3942;0;0;-1.498.929,81
34931196;1217055;04-02-2025;05-02-2025;Compra Dolar Mep;CEDEAR DE MICROSOFT CORP. (MSFT);USD;BYMA;10;13,85;-138,5;-0,3463;-0,1108;-0,096;0;-139,05
35021648;4560530;05-02-2025;05-02-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
35152911;1278629;05-02-2025;05-02-2025;Venta Dolar Mep;BONO REP. ARGENTINA USD STEP UP 2030 (AL30);USD;BYMA;-1.916;65,2401;1.250;-3,125;-0,125;0;0;1.246,75
34920688;1207161;04-02-2025;05-02-2025;Compra Dolar Mep;CEDEAR NVIDIA CORPORATION (NVDA);USD;BYMA;31;4,92;-152,52;-0,3813;-0,122;-0,1057;0;-153,13
35137555;1264038;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR ALIBABA GROUP HOLDING LIMITED (BABA);USD;BYMA;13;11,1;-144,3;-0,3608;-0,1154;-0,1;0;-144,88
35141349;1267819;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR TESLA, INC. (TSLA);USD;BYMA;5;25,7;-128,5;-0,3213;-0,1028;-0,0891;0;-129,01
35144241;1270630;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR SPDR DOW JONES INDUSTRIAL (DIA);USD;BYMA;6;22,45;-134,7;-0,3368;-0,1078;-0,0933;0;-135,24
35150057;1275804;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR MERCADOLIBRE INC. (MELI);USD;BYMA;7;16,5;-115,5;-0,2888;-0,0924;-0,08;0;-115,96
35155005;1280713;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR DE MICROSOFT CORP. (MSFT);USD;BYMA;10;13,9;-139;-0,3475;-0,1112;-0,0963;0;-139,56
35153642;1279360;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR AMAZON.COM, INC (AMZN);USD;BYMA;90;1,65;-148,5;-0,3713;-0,1188;-0,1029;0;-149,09
35477538;434181;06-02-2025;06-02-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;202.075,8032;7.428,257;-1.501.071;0;0;0;0;-1.501.071
35153895;1279613;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR APPLE INC. (AAPL);USD;BYMA;3;11,5;-34,5;-0,0863;-0,0276;-0,0239;0;-34,64
35134461;1260990;05-02-2025;06-02-2025;Compra Dolar Mep;CEDEAR ALPHABET INC. CL  A  (GOOGL);USD;BYMA;45;3,33;-149,85;-0,3746;-0,1199;-0,1038;0;-150,45
35534461;4921301;07-02-2025;07-02-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
35386041;1308923;06-02-2025;07-02-2025;Compra Dolar Mep;CEDEAR TESLA, INC. (TSLA);USD;BYMA;6;24,9;-149,4;-0,3735;-0,1195;-0,1035;0;-150
36036083;458010;07-02-2025;07-02-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;201.751,7974;7.434,878;-1.500.000;0;0;0;0;-1.500.000
36313376;487522;10-02-2025;10-02-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;201.214,261;7.454,74;-1.500.000;0;0;0;0;-1.500.000
35634105;1364181;07-02-2025;10-02-2025;Compra Dolar Mep;CEDEAR ALPHABET INC. CL  A  (GOOGL);USD;BYMA;40;3,23;-129,2;-0,323;-0,1034;-0,0895;0;-129,72
36107057;5419881;10-02-2025;10-02-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
36364070;5596436;11-02-2025;11-02-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
36553935;494112;11-02-2025;11-02-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;201.035,6283;7.461,364;-1.500.000;0;0;0;0;-1.500.000
36869046;513819;12-02-2025;12-02-2025;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;200.856,0754;7.468,034;-1.500.000;0;0;0;0;-1.500.000
36454429;1434333;11-02-2025;12-02-2025;Compra Dolar Mep;CEDEAR ALPHABET INC. CL  A  (GOOGL);USD;BYMA;36;3,22;-115,92;-0,2898;-0,0927;-0,0803;0;-116,38
36598469;5760918;12-02-2025;12-02-2025;Recibo De Cobro;;ARS;;;;1.500.000;0;0;0;0;1.500.000
42596748;381642;14-02-2025;14-02-2025;DIVIDENDOS EN ESPECIE;Dólar estadounidense;ARS;;0,23;0;0;0;-0,8676;-0,1822;0;-1,05
37621115;6559515;17-02-2025;17-02-2025;Recibo De Cobro;;ARS;;;;500.000;0;0;0;0;500.000
37862578;6664342;18-02-2025;18-02-2025;Recibo De Cobro;;ARS;;;;2.074.012;0;0;0;0;2.074.012
