nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
116356937;6506006;03-08-2026;03-08-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-174.151,2521;11.484,27;2.000.000;0;0;0;0;2.000.000
116434038;5414855;03-08-2026;03-08-2026;Venta;CEDEAR SALESFORCE.COM, INC (CRM);ARS;BYMA;-212;16.490;3.495.880;-15.731,46;-1.747,94;-3.670,674;0;3.474.729,93
116427714;5408550;03-08-2026;03-08-2026;Venta;CEDEAR META PLATFORMS INC. (META);ARS;BYMA;-86;38.760;3.333.360;-15.000,12;-1.666,68;-3.500,028;0;3.313.193,17
116398480;5380051;03-08-2026;03-08-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;3.183.455;104,1;-3.313.976,655;0;0;0;0;-3.313.976,66
116398131;5379702;03-08-2026;03-08-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-3.183.455;0,068;2.164,7494;0;0;0;0;2.164,75
116554668;5429090;04-08-2026;04-08-2026;Venta Registracion USD;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);USD;MAE;-3.942.911;0,068;2.681,1795;0;0;0;0;2.681,18
116427922;5408758;03-08-2026;04-08-2026;Compra Dolar Mep;CEDEAR APPLE INC. (AAPL);USD;BYMA;64;15,78;-1.009,92;-4,5446;-0,505;-1,0604;0;-1.016,03
116406431;5387684;03-08-2026;04-08-2026;Compra;CEDEAR ADECOAGRO S.A. (ADGO);ARS;BYMA;90;15.000;-1.350.000;-6.075;-675;-1.417,5;0;-1.358.167,5
116555887;5430309;04-08-2026;04-08-2026;Compra Registracion ARS;ON TARJETA NARANJA CL.66 S.1 30/11/26 $ (T661O);ARS;MAE;3.942.911;104,4;-4.116.399,084;0;0;0;0;-4.116.399,08
116569227;5443276;04-08-2026;04-08-2026;Venta;CEDEAR INTEL CORPORATION (INTC);ARS;BYMA;-13;31.600;410.800;-1.848,6;-205,4;-431,34;0;408.314,66
116742015;5487009;05-08-2026;06-08-2026;Compra Dolar Mep;CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);USD;BYMA;65;22,62;-1.470,3;-6,6164;-0,7352;-1,5438;0;-1.479,2
116752467;5497425;05-08-2026;06-08-2026;Compra Dolar Mep;CEDEAR SPACE EXPLORATION TECHNOLOGIES CORP. (SPCX);USD;BYMA;659;2,26;-1.489,34;-6,702;-0,7447;-1,5638;0;-1.498,35
116988621;6657173;06-08-2026;06-08-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-173.863,9534;11.503,247;2.000.000;0;0;0;0;2.000.000
